nama_kelurahan,nama_tempat,type_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat
Tanjung Barat,Siang Malam Restaurant,restaurant,4.4,564,-6.3126992,106.8627416,"Jalan Raya Jakarta - Bogor No.2, RT.1/RW.1, Susukan"
Tanjung Barat,KFC,restaurant,4.4,839,-6.30305,106.857296,Jalan Waru No.57
Tanjung Barat,Champ Group,restaurant,4,2,-6.309615,106.85295,"Jalan Tanjung 18 J No.13, RT.8/RW.2, Tanjung Barat"
Tanjung Barat,SABANA FRIED CHICKEN RANCHO,restaurant,4.4,36,-6.3052652,106.8502135,"No., Jalan Ranco Indah No.46, RT.1/RW.2, Tanjung Barat, Jagakarsa, RT.1/RW.2, West Tanjung"
Tanjung Barat,Pizza Hut Restaurant,restaurant,4.5,3034,-6.304740099999999,106.8493005,"Jalan TB Simatupang No.99, RT.3/RW.2, Tanjung Barat"
Tanjung Barat,Rumah Enryco,restaurant,4.1,9,-6.308921299999998,106.8533368,"Jalan H. Mujenih RT.4/RW.2, Tanjung Barat"
Tanjung Barat,Sipirock Coffee,restaurant,4.3,483,-6.304419600000001,106.8461604,"Ruko Galeri Niaga Kav. KM8-1, Jl. T. B. Simatupang No. 81, Tanjung Barat, RT.3/RW.2, Tanjung Barat, RT.3/RW.2, Tanjung Barat"
Tanjung Barat,Ayam Bebek Pak Boss Poltangan,restaurant,3.9,89,-6.301432399999999,106.8500676,"Jalan Poltangan Raya No.6, RT.4/RW.5, Tanjung Barat"
Tanjung Barat,Pisangku Sand Banana,restaurant,4.5,135,-6.3041904,106.8448472,"Jl. T.B. Simatupang No. 5, Tanjung Barat, Jagakarsa, RT.8/RW.5, Tanjung Barat, RT.8/RW.5, Tanjung Barat"
Tanjung Barat,PisangKu,restaurant,4.3,48,-6.3045992,106.840147,"Jalan Raya Tanjung Barat No.158B, RT.10/RW.4, Tanjung Barat"
Tanjung Barat,Mie Ayam Cijantung,restaurant,4,3,-6.3070947,106.8592675,"No.,, Mahoni No.17, RT.4/RW.6, Gedong"
Tanjung Barat,Dunkin' Donuts SPBU Tanjung Barat,restaurant,4.4,658,-6.303997699999999,106.8401731,"Jalan TB Simatupang No.156, RT.10/RW.4, Tanjung Barat"
Tanjung Barat,RM SariDesa,restaurant,5,1,-6.3015851,106.859327,"Jalan Dana Karya No.1, RT.5/RW.8, Gedong"
Tanjung Barat,Pecel Lele LELA Tanjung Barat,restaurant,4.3,16,-6.304694,106.84023,"Jalan Taman Alfa Indah RT.10/RW.4, Tanjung Barat"
Tanjung Barat,Soto Ayam/daging,restaurant,4.8,4,-6.296858599999999,106.8559144,"Gang Citra RT.1/RW.5, Gedong"
Tanjung Barat,Lulumpang Delivery,restaurant,4.8,4,-6.2979752,106.8581671,"Jalan Surilang No.3, RT.3/RW.1, Gedong"
Tanjung Barat,Baso Putra Lawu,restaurant,0,0,-6.314731600000001,106.8428182,"Jalan Tanjung Barat Selatan RT.2/RW.2, Lenteng Agung"
Tanjung Barat,Cafe Ceker Gak Nyeker,restaurant,4.6,32,-6.3033255,106.8388266,"No. 46, Gang Buni RT.1/RW.1, Lenteng Agung"
Tanjung Barat,Kedai Minara,restaurant,4.6,32,-6.300412999999999,106.83963,"Komplek AL no.c105, RT.6/RW.8, Pasar Minggu"
Tanjung Barat,Warung Jogja MAS Bro,restaurant,4.3,27,-6.307871899999999,106.8384479,"Jalan Lenteng Agung Raya RT.4/RW.1, Lenteng Agung"
Tanjung Barat,Solaria - Mall Graha Cijantung,restaurant,4.2,414,-6.3130149,106.8617131,"Solaria Mall Graha Cijantung, Jalan Pendidikan I"
Tanjung Barat,Super Kebab,restaurant,0,0,-6.312381299999998,106.861821,"Mall Cijantung, JL. Pendidikan Raya, No. 1, Lantai 4, RT.1/RW.4, Cijantung"
Tanjung Barat,HokBen,restaurant,4.3,603,-6.312314,106.8619145,"Mall Graha Cijantung Lantai 3, Jalan Pendidikan I RT.1/RW.4, Cijantung"
Tanjung Barat,Domino's Pizza,restaurant,4.4,1737,-6.293921999999998,106.8559992,"Jalan Raya Condet No.58, RT.2/RW.3, Batu Ampar"
Tanjung Barat,Rice Bowl Kramat Jati Indah,restaurant,3.8,5,-6.3132676,106.8613961,"Jl. Raya Bogor KM.19 Jakarta Timur 13510, Mall Kramat Jati Indah GF-02, RT.4/RW.4, Cijantung"
Tanjung Barat,Mie Ayam Herbal Sabuke,restaurant,4,4,-6.3126266,106.8618143,"Depot Cijantung, Jalan Pendidikan No.1, RT.1/RW.4, Cijantung"
Tanjung Barat,Pizza Hut Restoran - Cijantung Mall,restaurant,4.4,972,-6.3128923,106.8616586,"Cijantung Mall GF, Jalan Pendidikan No.1, RT.1/RW.4, Cijantung"
Tanjung Barat,Kupi Aceh 88,restaurant,4.4,1330,-6.296431699999999,106.8408451,"no. 83, South Jakarta, Jalan Raya Tanjung Barat RT.2/RW.4, West Tanjung"
Tanjung Barat,WARTEG MONCER LORO,restaurant,4.5,39,-6.2952619,106.8420232,"Jalan Poltangan Raya No.1, RT.2/RW.10, Pejaten Timur"
Tanjung Barat,Cakalang Suwir Homemade Tobey Kitchen,restaurant,4,5,-6.292519100000001,106.8526474,"Jalan Gunuk IV RT.9/RW.3, Pejaten Timur"
Tanjung Barat,Gerobak Hanabul,restaurant,0,0,-6.2922685,106.8555593,"Jalan Raya Condet No.9A, RT.5/RW.3, Balekambang"
Tanjung Barat,ecomoney,restaurant,5,1,-6.305092699999999,106.8355368,"Jalan Baung V No.11, RT.5/RW.2, Kebagusan"
Tanjung Barat,Kamir Habibi,restaurant,4.6,9,-6.299471099999998,106.8644648,"Jalan Haji Taiman Barat II No.24B, RT.1/RW.2, Gedong"
Tanjung Barat,Confest Resto,restaurant,4.3,805,-6.2909665,106.8560791,"Jalan Raya Condet No.33, RT.11/RW.3, Batu Ampar"
Tanjung Barat,Saung TRIBUANA V,restaurant,4.2,117,-6.3216607,106.8483298,"Jalan RA. Fadillah No.22, RT.6/RW.4, Baru"
Tanjung Barat,Cheese chicken POLTANGAN,restaurant,3.6,31,-6.2912729,106.8429362,"Jalan Poltangan Raya No.18, RT.1/RW.4, Pejaten Timur"
Tanjung Barat,Pizza Hut Delivery - PHD Indonesia,restaurant,4.5,815,-6.290197200000001,106.8555027,"Jalan Raya Condet Cililitan No.27c, Batu Ampar"
Tanjung Barat,Warto Japanesefood Pejaten - Rawa Bambu,restaurant,4.7,26,-6.298051699999999,106.8356594,"Jalan Mujair II No.22, RT.4/RW.9, Pasar Minggu"
Tanjung Barat,Kedai Mancing,restaurant,4.5,456,-6.303781,106.8668881,"Jalan Raya Bogor KM.23 RT.3/RW.5 No.24 Rambutan Ciracas RT.3, RT.3/RW.5, Rambutan"
Tanjung Barat,Corner kebab,restaurant,5,1,-6.296103099999999,106.8364999,"Jalan Gurame Raya No.56, RT.3/RW.9, Jati Padang"
Tanjung Barat,Mutiara,restaurant,0,0,-6.296278999999999,106.836359,"Jalan Gurame I No.45, RT.3/RW.9, Jati Padang"
Tanjung Barat,Ajwad Resto,restaurant,4.7,5516,-6.2897585,106.8556468,"Jalan Raya Condet No.50, RW.3, Batu Ampar"
Tanjung Barat,Cathleya Catering,restaurant,0,0,-6.2970673,106.8356972,"Jalan Gabus Raya No.15, RT.3/RW.9, Jati Padang"
Tanjung Barat,Pempek yuKEN!,restaurant,4.1,18,-6.2974631,106.8350148,"Jalan Mujair II No.19, RT.4/RW.9, Jati Padang"
Tanjung Barat,Yakher Continental,restaurant,2.5,2,-6.2883109,106.8517952,"Dapur Kayu Manis Pinggi Ciliwung Jalan Kayu Manis Bale Kambang Kramatjati, RT.9/RW.5, Balekambang"
Tanjung Barat,MR. Kumis,restaurant,3.5,2,-6.288284600000001,106.8516638,"Dapur Kayu Manis Pinggir Ciliwung Jalan Kayu Manis Bale Kambang Kramatjati, RT.7/RW.5, Balekambang"
Tanjung Barat,KFC,restaurant,4.2,205,-6.312963999999999,106.861781,"Jalan Pendidikan I RT.1/RW.4, Cijantung"
Tanjung Barat,McDonald's Mall Cijantung,restaurant,4.4,3427,-6.312021100000001,106.8617995,"Lantai Dasar Mall Graha Cijantung, Jalan Pendidikan I No.1, RT.1/RW.4, Cijantung"
Tanjung Barat,BMS (Bakso Malang Selatan ),restaurant,4.3,3,-6.3058349,106.8502275,"Jalan Rancho Indah No.11, RT.1/RW.2, Tanjung Barat"
Tanjung Barat,"Mie Ayam Pak Wardi ""Cilacap""",restaurant,4.3,69,-6.3060223,106.8503431,"Jalan Rancho Indah No.9, RT.2/RW.2, Tanjung Barat"
Tanjung Barat,Nasi Uduk Nasi Rames Mamiranco,restaurant,0,0,-6.305723100000001,106.8503756,"Jalan Rancho Indah No.9, RT.2/RW.2, Tanjung Barat"
Tanjung Barat,Jelly Rockets,restaurant,0,0,-6.3057124,106.8503874,"MVV2+P56, RW.2, Tanjung Barat"
Tanjung Barat,Rumah Mie Ala GM Rancho,restaurant,4.6,9,-6.3056804,106.8504062,"Jalan Rancho Indah No.7, RT.2/RW.2, Tanjung Barat"
Tanjung Barat,Vita / Arief,restaurant,0,0,-6.306100799999999,106.8502779,"Jalan rancho indah rt 008/02 No.12a, RT.2/RW.2, Tanjung Barat"
Tanjung Barat,Bocil(baso Aci cilik),restaurant,5,2,-6.3056316,106.8503697,"Jalan Rancho Indah No.9, RT.2/RW.2, Tanjung Barat"
Tanjung Barat,Pojangmacha rancho,restaurant,0,0,-6.305499699999998,106.8503766,"Jalan Rancho Indah No.20, RT.2/RW.2, Tanjung Barat"
Tanjung Barat,Pecel Lele Joko Tingkir,restaurant,5,1,-6.305407799999999,106.8503994,"Jalan Rancho Indah No.22, RT.2/RW.2, Tanjung Barat"
Tanjung Barat,Seblak Ms Yitno Ramco Tanjung Barat Jkt Selalatan,restaurant,4.5,2,-6.3059977,106.8508055,"MVV2+J83, RW.2, Tanjung Barat"
Tanjung Barat,Martabak Aqila,restaurant,0,0,-6.3054105,106.850584,"Jalan Rancho Indah No.3, RT.1/RW.2, Tanjung Barat"
Tanjung Barat,"Gado-Gado ""Po' Nunur""",restaurant,5,1,-6.305335599999999,106.8503399,"Jalan Rancho Indah No.22, RT.1/RW.2, Tanjung Barat"
Tanjung Barat,KFC,cafe,4.4,839,-6.30305,106.857296,Jalan Waru No.57
Tanjung Barat,Sipirock Coffee,cafe,4.3,483,-6.304419600000001,106.8461604,"Ruko Galeri Niaga Kav. KM8-1, Jl. T. B. Simatupang No. 81, Tanjung Barat, RT.3/RW.2, Tanjung Barat, RT.3/RW.2, Tanjung Barat"
Tanjung Barat,Pisangku Sand Banana,cafe,4.5,135,-6.3041904,106.8448472,"Jl. T.B. Simatupang No. 5, Tanjung Barat, Jagakarsa, RT.8/RW.5, Tanjung Barat, RT.8/RW.5, Tanjung Barat"
Tanjung Barat,Isabelle's,cafe,4.5,13,-6.307923000000001,106.84465,"Merak Mas No.2, RT.2/RW.1, Tanjung Barat"
Tanjung Barat,Welman Purba,cafe,4.3,6,-6.2995152,106.8467425,"Jalan Swadaya II C No.46 D, RT.2/RW.5, Tanjung Barat"
Tanjung Barat,Kulakan Coffea,cafe,4.1,29,-6.314773000000001,106.85042,"jl. Gintung Rt.011/02 No 58 Kel.Tanjung Barat Kec.Jagakarsa Jak-Sel 12530, RT.9/RW.2, Tanjung Barat"
Tanjung Barat,Dunkin' Donuts SPBU Tanjung Barat,cafe,4.4,658,-6.303997699999999,106.8401731,"Jalan TB Simatupang No.156, RT.10/RW.4, Tanjung Barat"
Tanjung Barat,warung selatan,cafe,3,1,-6.299876299999999,106.8591262,"No., Indonesia, Jalan Raya Tengah No.54, RT.8/RW.8, Gedong"
Tanjung Barat,WarBul (Warkop Gembul),cafe,4.3,51,-6.2998673,106.859146,"Jalan Raya Tengah No.4, RT.8/RW.8, Gedong"
Tanjung Barat,Susu Pribu Bar,cafe,0,0,-6.2967822,106.8443868,"Jalan Poltangan Raya No.8, RT.1/RW.4, Tanjung Barat"
Tanjung Barat,Roti O,cafe,4.4,74,-6.307802499999999,106.8387989,"Jalan Raya Lenteng Agung RT.4/RW.1, Lenteng Agung"
Tanjung Barat,Two Much Coffee & Roastery,cafe,4.6,200,-6.298797500000001,106.8608783,"Jalan Raya Tengah No.18A, RT.9/RW.8, Gedong"
Tanjung Barat,Milkuw - Fresh Milk,cafe,5,1,-6.295779800000001,106.8424422,"Jalan Poltangan Raya No.10, RT.2/RW.4, Tanjung Barat"
Tanjung Barat,Meeting Point J.CO Donuts,cafe,4.3,71,-6.3126291,106.861637,"Jalan RA. Fadillah No.1A, RT.1/RW.4, Gedong"
Tanjung Barat,Kupi Aceh 88,cafe,4.4,1330,-6.296431699999999,106.8408451,"no. 83, South Jakarta, Jalan Raya Tanjung Barat RT.2/RW.4, West Tanjung"
Tanjung Barat,Warunk Podjok Garasi,cafe,5,2,-6.2913672,106.8557128,"Jalan Raya Condet No.58, RT.5/RW.3, Batu Ampar"
Tanjung Barat,Angkringan Remang,cafe,4,4,-6.301254699999999,106.8653399,"Jalan Haji Taiman RT.4/RW.2, Gedong"
Tanjung Barat,Confest Resto,cafe,4.3,805,-6.2909665,106.8560791,"Jalan Raya Condet No.33, RT.11/RW.3, Batu Ampar"
Tanjung Barat,Saung TRIBUANA V,cafe,4.2,117,-6.3216607,106.8483298,"Jalan RA. Fadillah No.22, RT.6/RW.4, Baru"
Tanjung Barat,Warkop Dki 502.,cafe,0,0,-6.316006900000001,106.8629172,"Jalan Pendidikan 2 No.25, RT.2/RW.4, Cijantung"
