nama_kelurahan,nama_tempat,type_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat
Tanjung Barat,bc nb.simatupang,parking,5,2,-6.302140399999999,106.8486632,0
Tanjung Barat,Pemancingan Ikan Mas Muhtar,parking,5,1,-6.300579699999999,106.8439038,0
Tanjung Barat,Parkir Motor Antam,parking,0,0,-6.301791400000001,106.8427937,0
Tanjung Barat,Parkir Motor PT BAF,parking,5,1,-6.301737900000001,106.842524,0
Tanjung Barat,PARKIR MOTOR 28 PT.BAF,parking,0,0,-6.301678,106.8424985,0
Tanjung Barat,Penitipan Motor Ari,parking,0,0,-6.3082934,106.838296,0
Tanjung Barat,Parkir Mobil,parking,4.8,6,-6.3125307,106.8619445,0
Tanjung Barat,Grab Food All-in-One,parking,0,0,-6.304557100000001,106.8369247,0
Tanjung Barat,Parkiran seng,parking,0,0,-6.313402099999999,106.8616262,0
Tanjung Barat,Parkir mall pintu belakang,parking,0,0,-6.3134447,106.8616409,0
Tanjung Barat,Moza AC Mobil,parking,5,1,-6.311705000000001,106.837921,0
Tanjung Barat,Parkiran Motor Sekolahan,parking,0,0,-6.2927196,106.8542635,0
Tanjung Barat,Parkiran umum,parking,5,3,-6.3127579,106.8627561,0
Tanjung Barat,Apartemen Kebagusan City,parking,0,0,-6.306688599999999,106.835906,0
Tanjung Barat,parkiran umum,parking,5,4,-6.313806,106.8624774,0
Tanjung Barat,Parkir Motor Sma 104,parking,5,1,-6.2991731,106.8632124,0
Tanjung Barat,Parkiran Bang Madun,parking,0,0,-6.313008799999999,106.8630094,0
Tanjung Barat,MAKH 02,parking,5,1,-6.3207257,106.8525029,0
Tanjung Barat,dewa eletronik...,parking,0,0,-6.320070899999999,106.8553029,0
Tanjung Barat,PENITIPAN MOTOR TENTREM,parking,4.8,4,-6.307316699999999,106.8658946,0
Tanjung Barat,Parkiran Kramat,parking,5,1,-6.3205901,106.8557961,0
Tanjung Barat,Parkiran bu haji,parking,0,0,-6.2900199,106.8521627,0
Tanjung Barat,Alfian wahyudi,parking,0,0,-6.289823999999999,106.8489461,0
Tanjung Barat,Penitipan Motor 24 Jam,parking,4.4,5,-6.306771299999999,106.8667317,0
Tanjung Barat,Cijantung,parking,0,0,-6.3157421,106.8635621,0
Tanjung Barat,Warteg ping,parking,0,0,-6.294639300000001,106.8376937,0
Tanjung Barat,Assakinah Parking - Pak.Haji,parking,4,10,-6.3037263,106.8334855,0
Tanjung Barat,JEMBLONGAN / JOC,parking,5,1,-6.3185528,106.8382451,0
Tanjung Barat,MAXXIO 3052,parking,0,0,-6.313460999999999,106.8342338,0
